"","sample_id","beta1","beta2","beta3","beta4","beta5","f1","f2","f3","f4","f5","alpha","inc_age_cat1","inc_age_cat2","inc_age_cat3","inc_age_cat4","inc_age_cat5","r_a","gamma","theta_s","theta_a","r_c","rho","phi","VE_under2","VE_2_4","VE_5_plus","duration_under2","duration_2_4","duration_5_plus"
"526",526,2.52662059321393,19.6388373405874,12.6393569196158,7.25577851191843,1.04880823969765,0.047711288,0.0527739550256032,0.075240442,0.074435216,0.063622793,0.010838934,1332.6350618301,4166.92764199377,2757.95385094269,1889.58024089375,565.017361639449,0.669441942994334,1.10027080018141,0.606611216549179,0.296302397898333,0.126688743470469,0.00291270340714499,0.00811446104750774,0.961265509,0.809611678,0.889688942,35.517330516,72.556673556,110.155529268
"527",527,2.51898832154653,18.134000784339,12.6650539831634,7.07913802636703,1.00674403731885,0.048582698,0.054966103,0.07438065,0.075034171,0.066148014,0.0110768059073202,1333.52621724125,4166.83897023401,2758.3257841243,1888.81737743593,565.015803971676,0.913127396616788,1.37668276084992,0.515063134909815,0.314450705720456,0.166523930124429,0.000140789983840131,0.00765226822633929,0.92857438,0.958168289,0.955275948,39.75593226,40.072364136,83.136403572
"528",528,2.675112183,17.7698381732201,13.6954902954004,6.94016404036006,1.11173188797377,0.050605985,0.054314496,0.066227971,0.072571503,0.064068613,0.0120300988285015,1332.88979153471,4166.73358261411,2758.23154697215,1889.8814012456,564.961468624333,0.58187907144012,1.11462349472071,0.64880804840323,0.276873359539647,0.0910196355200818,0.00221150977189335,0.00529937460857563,0.937740694,0.824855858,0.92036648,7.315050276,87.267819024,93.699970764
"529",529,1.98831377486437,16.5975530121188,13.5136864086403,8.00317484136609,0.890693822435174,0.042058592,0.057589225,0.088536733,0.086223016,0.062370902,0.008144418,1332.7704652605,4167.28455635058,2757.85872983732,1890.18121004985,565.284154404498,0.735205430199247,0.734019150385559,0.647783318856019,0.322745606925225,0.158015726053553,0.00240665333904541,0.00898385885263813,0.781976014,0.73184176,0.886444248,50.165390496,213.67444452,82.255779516
"530",530,2.69137590714935,18.5052880721781,11.7973049949006,8.01761835931169,1.16288996190579,0.0624695651032222,0.049973484,0.060687553,0.056904202,0.06979201,0.0142252171408959,1332.91381143438,4167.10954526614,2757.79105845363,1889.61129096423,565.061727346747,0.662262000414046,1.61530094297721,0.611589294161389,0.212915845579909,0.119813399675353,0.000218279321637885,0.0117711414617734,0.858482733,0.843863672,0.992297812,24.259384692,106.901473524,60.579791484
"531",531,2.33834684020346,18.1414672045947,11.9201082567799,7.4578563558347,0.966513885265956,0.047734233,0.056603948,0.078203634,0.071772797,0.063057379,0.0119604796226903,1332.88313089644,4167.03748487068,2758.78572146852,1890.21148645019,565.04102608483,0.655744419899748,0.945117289786734,0.60740339149586,0.340671190780949,0.146158922926238,0.0019828344471398,0.00932655953302992,0.775710272,0.931407962,0.797131807,39.359706372,70.664594616,146.2563396
"532",532,2.4754519580806,21.3582036127866,10.7592148888132,6.90024034160452,1.05560683186181,0.0624435985971412,0.0467748082399221,0.064757207,0.0601697553484264,0.069392144,0.017784064,1332.69304174353,4167.10993105136,2758.18342021954,1889.72778535318,565.057106393692,0.645726783385879,1.6447964865144,0.587211261114682,0.264146045092804,0.115330703920052,0.0048015724570994,0.00740024491100284,0.878217192,0.745720655,0.920492943,0.00051880481343605,53.329803108,65.083144104
"533",533,2.36635909636477,18.4047633557849,12.6546668020465,7.60371460601617,0.945220870079794,0.044187208,0.053496871,0.081549671,0.080761334,0.066936887,0.008553872,1332.92073996537,4167.28421699034,2758.30251480379,1889.41217196026,564.990878216886,0.776502417868742,0.996286315706304,0.631040106673614,0.289008192221911,0.114782125392657,0.00113637614239808,0.00633277277048063,0.741100612,0.887276222,0.889525009,39.080708952,78.837315576,79.924418364
"534",534,3.22275475369724,18.8462981240501,12.0378830053949,5.61726443866842,1.05960639140372,0.0554196616393494,0.050737588,0.0593302603015378,0.073112871,0.077196351,0.0162991557842529,1333.22654580165,4167.04095791391,2758.0215947013,1890.19974583816,564.941923328061,0.604142298258924,1.47823786340416,0.623568601654278,0.217239637499924,0.129700352386472,0.000124157756092725,0.00730031585271218,0.949954727,0.973215398,0.938017103,24.751413252,39.024580464,66.683358288
"535",535,1.79994952456364,20.3505576101773,14.6568872418547,8.61702952745454,0.677819620166942,0.037778944,0.053610051,0.090706458,0.081465042,0.063779875,0.008683692,1333.03921660754,4166.64605286227,2757.56039440973,1889.83208318492,564.924455575594,0.98150634148914,0.780391910515509,0.735163363124615,0.326880508813006,0.14562054807818,0.00738663270173474,0.0220779566002848,0.970564133,0.804476103,0.860245577,44.67061674,241.34056152,111.680065716
