"","sample_id","beta1","beta2","beta3","beta4","beta5","f1","f2","f3","f4","f5","alpha","inc_age_cat1","inc_age_cat2","inc_age_cat3","inc_age_cat4","inc_age_cat5","r_a","gamma","theta_s","theta_a","r_c","rho","phi","VE_under5","VE_5_plus","duration_under5","duration_5_plus"
"855",855,3.067835468,16.1625467391812,11.1514024917147,7.233218084,1.1786627686273,0.0620679553987836,0.0567329973490234,0.056691243,0.053581724,0.070315296,0.030858468,1332.08966089857,4167.42643282179,2757.91402327658,1889.51558944758,564.7882412,0.654136062137128,1.8097118874188,0.632109191994409,0.296157045744951,0.128673547957142,0.000373343100716075,0.00594303029468054,0.7786554,0.836564908,533.23101228,1165.98321324
"856",856,2.50995322240377,18.2784658860742,13.1893747202115,7.60111010386093,0.927777939427777,0.041518271,0.0539611105949641,0.07968533,0.079644606,0.066431009,0.008915993,1332.8209219319,4167.28973745203,2757.647563,1890.26341065867,564.732628551781,0.839355963909391,1.07901149219463,0.598551412712802,0.296692481324453,0.161197480422135,0.00135941117775822,0.00745693338726784,0.874860352,0.844513399,163.91700852,1186.1476206
"857",857,2.49325968187945,18.2008716633984,12.8105011279733,7.57438761489174,0.913174768,0.042319437,0.053889257,0.080068428,0.079482197,0.068019287,0.008840591,1332.90823259524,4167.0936867822,2758.1837195757,1890.13685511157,564.99236124382,0.79155871835368,1.02400385440437,0.623454561318895,0.290600845899233,0.161245894208877,0.00193903434144047,0.0141274804791424,0.829841366,0.853101872,79.07726898,809.32309152
"858",858,2.26305079097962,18.1110532512029,13.2503102805619,7.41713663612005,0.860166146707961,0.043669243,0.053579067,0.080360884,0.081156655,0.068677392,0.008751162,1333.31457779316,4167.65002483801,2758.01805499315,1889.7767517211,565.176653157987,0.937835374015557,1.10005367173558,0.553004502635562,0.304159954703575,0.115484806322178,0.000663749714122745,0.00669418405521445,0.814027466,0.804517215,655.5241866,1115.24961516
"859",859,2.41347348602052,17.9182143312429,12.7307240823384,6.90450720740619,1.0064672188541,0.050373879,0.054773967,0.073444628,0.075475474,0.065830248,0.011495977,1332.55836198523,4167.59972314442,2758.32441238617,1889.28483262829,564.824849,0.825843758541147,1.40134714802046,0.576663953276273,0.307359301720617,0.11958552486919,0.00571223958001001,0.00799558386055356,0.875479853,0.807438098,182.78253408,1160.99175612
"860",860,2.42122159101519,19.3596354904232,10.3623508219784,6.81748733932312,1.08082445287908,0.053035896,0.054264949,0.076362508,0.067702037,0.060891841,0.014520943135299,1333.13661181324,4166.73533937139,2757.73902209219,1889.44773453457,565.023649887652,0.686858232627428,1.16505977452186,0.584155785046908,0.339953652306405,0.161645150039386,0.000429144199777988,0.00698496118081286,0.736896495,0.873667174,73.194921132,1025.72658912
"861",861,2.68603062771989,17.2425486762362,9.76001726019558,7.03997122720029,1.06063442307534,0.051317373,0.057811234,0.079870443,0.069358643,0.066791716,0.012966311,1332.59278719685,4166.676946,2757.77776559001,1889.5602106114,565.375464473957,0.697563833331646,1.2218855866951,0.502675867075131,0.321242721394446,0.127277043333529,0.00112421391535322,0.00653932554253843,0.725949476,0.850097485,888.13238904,546.55047468
"862",862,2.58570425519769,15.9117268098743,13.9804800165349,9.04838082224711,0.772345948600897,0.021425878,0.0487910503988293,0.088548093,0.09253303,0.058607044,0.004816894,1332.73853321526,4166.67022634148,2758.05665686648,1890.39885469927,564.783847724542,1,0.660579588093469,0.63839566492912,0.22059725809667,0.14552451779832,0.00399405488421892,0.00826004042209559,0.740982377,0.89192193,249.01786776,348.85836984
"863",863,2.35899183557566,18.0032153149828,10.5460084479912,9.05091980872845,0.945229965007697,0.0424315480188729,0.0573255933323578,0.086702779,0.068827226,0.06107259,0.0106792222552505,1333.30746661089,4167.29986863938,2758.64223566962,1890.55863929682,565.1650047,0.652256701494246,0.82278650014258,0.674591431484266,0.336384802210809,0.115257448201876,0.00307857945020057,0.0111825419140595,0.75636105,0.786295163,745.42834596,921.19650096
"864",864,2.5547132895738,18.5957226511452,12.6206801319972,6.94215739224852,1.19144816978789,0.050781994,0.054183456,0.071456837,0.072841867,0.0588502568570852,0.0120064248829478,1333.09651553978,4166.47329496946,2758.26568583022,1889.92548701043,565.050797991292,0.664552804003516,1.15174186010394,0.575998955954475,0.303200105925284,0.151080409982225,6.87708882177697e-05,0.00770651133162367,0.911447733,0.826767459,69.800980968,1074.12163824
"865",865,2.30695809906906,17.332706438441,11.7383410320215,8.86752784388144,0.932259590721162,0.0409614382274795,0.0578786677567795,0.087246041,0.075058157,0.061833109,0.009404357,1333.31110633011,4166.13610543687,2758.56134013313,1889.40684657031,564.982395656918,0.893007405402923,1.000787288399,0.478786584030501,0.345383490428682,0.130550814257213,0.00197339414874535,0.012645711733072,0.893228572,0.851172875,99.761938608,1035.48411768
"866",866,2.36988392672971,19.3397401759927,11.5125891326328,6.58929421695489,1.00036808539051,0.057958636,0.054617307,0.067650485,0.064630645,0.065932266,0.02011939,1333.27551262637,4167.2132241947,2758.32832658354,1890.65316076071,565.037581326711,0.44510471972937,1.0571201957999,0.60764734629901,0.367081174705349,0.0943164733271144,0.00956672039742022,0.00614119589427404,0.815618409,0.858853386,471.38489556,498.1751946
"867",867,2.31588065230152,18.5737927611249,10.5209941615337,6.89383199927042,1.05135254919201,0.0506156428625759,0.0550523692581098,0.082391236,0.075256467,0.062467145,0.0112623020668963,1333.31843538239,4166.608357,2757.69552230721,1890.41397905672,565.139402968857,0.636190194803558,1.06826995549675,0.566055766498983,0.316586102645849,0.117872311555864,0.00663878618555364,0.00746236338612603,0.815372985,0.875625378,893.19983772,433.0942914
"868",868,2.72156882084918,19.5537411703106,12.3017221324705,6.7107829189023,1.0525630032196,0.049743313,0.0506844123398998,0.0719303,0.077189159,0.069568925,0.010000943,1332.91165932419,4166.557236,2758.03409841135,1890.38183934791,565.031354315929,0.643576830396078,1.19734169904946,0.648925819843495,0.246288812308,0.131168313172999,0.00319681778294751,0.0114138657274389,0.82438845,0.786352917,629.68848756,1018.42315704
"869",869,2.55727560256669,16.5733049199446,10.5131504314391,6.56053315713233,1.04385732617426,0.061106553,0.059854727,0.068783118,0.064067352,0.069320055,0.0213686216365149,1332.98387981706,4167.20376456132,2757.55390040346,1889.74982381648,564.949973454162,0.608975105931151,1.27702566354512,0.620204846559858,0.369491765350877,0.114325280926091,0.0020209845735555,0.00919021837749096,0.904989476,0.822978742,1174.93138044,918.57150036
"870",870,2.7178178620197,19.8166941197049,13.3047407412966,6.42912159921914,1.07846645638039,0.053550721,0.049437923,0.061680744,0.06998266,0.066974958,0.013751748165685,1333.23264072066,4167.32500372425,2758.5493506568,1890.0536253438,565.30616465307,0.67547853645074,1.43056462579482,0.605237330426607,0.259101910260514,0.104706597536429,0.00177504733144267,0.00627129395510384,0.749847249,0.815309647,1135.4271756,528.00527988
